600687: Battle_of_Branxton
600688: Battle_of_Bratislava
600689: Battle_of_Bravalla
600690: Battle_of_Bravellir
600691: Battle_of_Brazil
600692: Battle_of_Breadfield
600693: Battle_of_Breakneck_Ridge
600694: Battle_of_Breed's_Hill
600695: Battle_of_Breeds_Hill
600696: Battle_of_Bregalnica
600697: Battle_of_Breisach
600698: Battle_of_Breitenfeld
600699: Battle_of_Breitenfeld_(1631)
600700: Battle_of_Breitenfeld_(1642)
600701: Battle_of_Breitenfield
600702: Battle_of_Breitenfield_(1631)
600703: Battle_of_Bremule
600704: Battle_of_Brentford
600705: Battle_of_Brentford_(1016)
600706: Battle_of_Brentford_(1642)
600707: Battle_of_Brentwood
600708: Battle_of_Breslau
600709: Battle_of_Breslau_(1757)
600710: Battle_of_Breslau_(1945)
600711: Battle_of_Brest
600712: Battle_of_Brest-Litovsk
600713: Battle_of_Brest_(1342)
600714: Battle_of_Brest_(1941)
600715: Battle_of_Brezalauspurc
600716: Battle_of_Briar's_Creek
600717: Battle_of_Briar_Creek
600718: Battle_of_Brice's_Crossroads
600719: Battle_of_Brices_Cross_Roads
600720: Battle_of_Brices_Crossroads
600721: Battle_of_Bridge
600722: Battle_of_Brienne
600723: Battle_of_Brier_Creek
600724: Battle_of_Brignais
600725: Battle_of_Brihuega
600726: Battle_of_Brisbane
600727: Battle_of_Brissarthe
600728: Battle_of_Bristoe_Station
600729: Battle_of_Britain
600730: Battle_of_Britain_(disambiguation)
600731: Battle_of_Britain_(film)
600732: Battle_of_Britain_(movie)
600733: Battle_of_Britain_Aircraft
600734: Battle_of_Britain_Airfields
600735: Battle_of_Britain_Chapel
600736: Battle_of_Britain_Day
600737: Battle_of_Britain_Foreign_Contribution
600738: Battle_of_Britain_Foreign_Contributions
600739: Battle_of_Britain_II:_Wings_of_Victory
600740: Battle_of_Britain_II_Wings_of_Victory_(computer_game)
600741: Battle_of_Britain_Memorial
600742: Battle_of_Britain_Memorial,_Capel-le-Ferne
600743: Battle_of_Britain_Memorial,_London
600744: Battle_of_Britain_Memorial_Flight
600745: Battle_of_Britain_Monument
600746: Battle_of_Britain_Monument_in_London
600747: Battle_of_Britain_RAF_squadrons
600748: Battle_of_Britain_Roll_of_Honour
600749: Battle_of_Britain_Squadron
600750: Battle_of_Britain_airfields
600751: Battle_of_Britain_class
600752: Battle_of_Britain_monument
600753: Battle_of_Britpop
600754: Battle_of_Broad_Street
600755: Battle_of_Brody
600756: Battle_of_Brody-Lvov
600757: Battle_of_Brody_(1941)
600758: Battle_of_Broken_Hill
600759: Battle_of_Bronker's_Spruit
600760: Battle_of_Broodseinde
600761: Battle_of_Brookline
600762: Battle_of_Brooklyn
600763: Battle_of_Brouwershaven
600764: Battle_of_Brown's_Mill
600765: Battle_of_Brownstown
600766: Battle_of_Bruderholz
600767: Battle_of_Brumath
600768: Battle_of_Brunanburh
600769: Battle_of_Brunei
600770: Battle_of_Brunete
600771: Battle_of_Brunkeberg
600772: Battle_of_Brunswick
600773: Battle_of_Bryansk
600774: Battle_of_Bryansk_(1941)
600775: Battle_of_Bryn_Derwin
600776: Battle_of_Bryn_Glas
600777: Battle_of_Brzesc
600778: Battle_of_Brzesc_Litewski
600779: Battle_of_Brześć
600780: Battle_of_Brześć_Litewski
600781: Battle_of_Brávellir
600782: Battle_of_Bråvalla
600783: Battle_of_Brémule
600784: Battle_of_Bu'ath
600785: Battle_of_Bubaigawara
600786: Battle_of_Bucaco
600787: Battle_of_Buck_Head_Creek
600788: Battle_of_Buckland_Mills
600789: Battle_of_Bud_Bagsak
600790: Battle_of_Bud_Dajo
600791: Battle_of_Buda
600792: Battle_of_Buda_(1686)
600793: Battle_of_Budapest
600794: Battle_of_Buena_Vista
600795: Battle_of_Buena_vista
600796: Battle_of_Buffington_Island
600797: Battle_of_Bukit_Chandu
600798: Battle_of_Bukit_Timah
600799: Battle_of_Bukoba
600800: Battle_of_Bulair
600801: Battle_of_Bulgarophygon
600802: Battle_of_Bulge
600803: Battle_of_Bull's_Gap
600804: Battle_of_Bull_Run
600805: Battle_of_Bulltown
600806: Battle_of_Bun'ei
600807: Battle_of_Bun_Garbhain
600808: Battle_of_Buna
600809: Battle_of_Buna-Gona
600810: Battle_of_Bunclody
600811: Battle_of_Bunker's_Hill
600812: Battle_of_Bunker_Hil
600813: Battle_of_Bunker_Hill
600814: Battle_of_Bunroku
600815: Battle_of_Bunroku_and_Keicho
600816: Battle_of_Buon_Me_Thuot
600817: Battle_of_Burbank
600818: Battle_of_Burgos
600819: Battle_of_Burkersdorf
600820: Battle_of_Burning_Plains
600821: Battle_of_Burnt_Corn
600822: Battle_of_Burr_Oak_Grove
600823: Battle_of_Busaco
600824: Battle_of_Busan_(1592)
600825: Battle_of_Busan_(1597)
600826: Battle_of_Bushy_Run
600827: Battle_of_Bussaco
600828: Battle_of_Busta_Gallorum
600829: Battle_of_Buxar
